[2023-12-21 12:49:50,393: INFO: main: welcome to our custom log]
[2023-12-27 13:12:23,301: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:14:05,718: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:19:55,785: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:24:08,120: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:25:04,000: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:27:01,313: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:27:58,870: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:27:59,539: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:27:59,919: INFO: common: yaml file:config\config.yaml loaded successfully]
[2023-12-27 13:29:30,293: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 13:29:30,293: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 13:30:58,500: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 13:30:58,500: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 13:32:02,555: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 13:32:02,560: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 13:34:10,052: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 13:34:10,060: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 13:34:34,951: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 13:34:34,959: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 13:36:53,843: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 13:36:53,851: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 13:37:07,091: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 13:37:07,091: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 13:37:07,096: INFO: common: created directory at: artifacts]
[2023-12-27 13:37:07,098: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-27 13:37:07,099: INFO: 2400936337: downloading dataset fromhttps://drive.google.com/file/d/10RqZ8VFZJJtdlUIwDWT5HljsiR-iykwE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-27 13:38:40,321: INFO: 2400936337: downloaded dataset fromhttps://drive.google.com/file/d/10RqZ8VFZJJtdlUIwDWT5HljsiR-iykwE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-27 17:51:10,754: INFO: main: .....stage Data ingestion stage started ....]
[2023-12-27 17:51:10,755: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 17:51:10,755: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 17:51:10,755: INFO: common: created directory at: artifacts]
[2023-12-27 17:51:10,755: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-27 17:51:10,759: INFO: data_ingestion: downloading dataset fromhttps://drive.google.com/file/d/10RqZ8VFZJJtdlUIwDWT5HljsiR-iykwE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-27 17:53:23,435: INFO: data_ingestion: downloaded dataset fromhttps://drive.google.com/file/d/10RqZ8VFZJJtdlUIwDWT5HljsiR-iykwE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-27 17:53:25,232: INFO: main: ..... stage Data ingestion stage completed .....]
[2023-12-27 18:04:11,824: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 18:04:11,833: INFO: common: yaml file: params.yaml loaded successfully]
[2023-12-27 18:04:11,834: INFO: common: created directory at: artifacts]
[2023-12-27 18:04:11,834: INFO: common: created directory at: artifacts/data_ingestion]
[2023-12-27 18:04:11,838: INFO: 3202872001: Downloading data from https://drive.google.com/file/d/10RqZ8VFZJJtdlUIwDWT5HljsiR-iykwE/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-12-27 18:08:04,558: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-12-27 18:08:04,562: INFO: common: yaml file: params.yaml loaded successfully]
